FESTIVAL,YEAR,AWARD,FILM
Venezia,2024,Orizzonti - Special Jury Prize,HEMME'NIN ÖLDÜĞÜ GÜNLERDEN BIRI (ONE OF THOSE DAYS WHEN HEMME DIES)
Venezia,2024,Orizzonti - Best Actress,FAMILIAR TOUCH
Venezia,2024,Orizzonti - Best Actor,FAMILIA
Venezia,2024,Orizzonti - Best Screenplay,HAPPY HOLIDAYS
Venezia,2024,Orizzonti - Best Short Film,WHO LOVES THE SUN
Venezia,2024,Venice Short Film Nomination for European Film Awards,RENÉ VA ALLA GUERRA
Venezia,2024,Orizzonti Extra - Armani Beauty Audience Award,SHAHED (THE WITNESS)
Venezia,2024,Lion of the Future - Luigi De Laurentiis Award,FAMILIAR TOUCH
Venezia,2024,Venice Classics - Best Documentary on Cinema,CHAIN REACTIONS
Venezia,2024,Venice Classics - Best Restored Film,ECCE BOMBO
Venezia,2025,Golden Lion - Best Film,FATHER MOTHER SISTER BROTHER
Venezia,2025,Silver Lion - Grand Jury Prize,THE VOICE OF HIND RAJAB
Venezia,2025,Silver Lion - Best Director,THE SMASHING MACHINE
Venezia,2025,Coppa Volpi - Best Actress,RI GUA ZHONG TIAN (THE SUN RISES ON US ALL)
Venezia,2025,Coppa Volpi - Best Actor,LA GRAZIA
Venezia,2025,Award for Best Screenplay,À PIED D'ŒUVRE (AT WORK)
Venezia,2025,Special Jury Prize,SOTTO LE NUVOLE (BELOW THE CLOUDS)
Venezia,2025,Marcello Mastroianni Award - Best Young Actor/Actress,SILENT FRIEND
Venezia,2025,Orizzonti - Best Film,EN EL CAMINO (ON THE ROAD)
Venezia,2025,Orizzonti - Best Director,SONGS OF FORGOTTEN TREES
Venezia,2025,Orizzonti - Special Jury Prize,HARÀ WATAN (LOST LAND)
Venezia,2025,Orizzonti - Best Actress,IL RAPIMENTO DI ARABELLA
Venezia,2025,Orizzonti - Best Actor,UN ANNO DI SCUOLA (A YEAR OF SCHOOL)
Venezia,2025,Orizzonti - Best Screenplay,HIEDRA (THE IVY)
Venezia,2025,Orizzonti - Best Short Film,UTAN KELLY (WITHOUT KELLY)
Venezia,2025,Lion of the Future - Luigi De Laurentiis Award,SHORT SUMMER
Venezia,2025,Venezia Spotlight - Armani Beauty Audience Award,CALLE MÁLAGA
Venezia,2025,Venice Classics - Best Documentary on Cinema,MATA HARI
Venezia,2025,Venice Classics - Best Restored Film,"BASHU, GHARIBEYE KOOCHAK (BASHU, THE LITTLE STRANGER)"
,,,
Berlinale,2020,Golden Bear - Best Film,THERE IS NO EVIL
Berlinale,2020,Silver Bear - Grand Jury Prize,NEVER RARELY SOMETIMES ALWAYS
Berlinale,2020,Silver Bear - Best Director,THE WOMAN WHO RAN
Berlinale,2020,Silver Bear - Best Actress,UNDINE
Berlinale,2020,Silver Bear - Best Actor,HIDDEN AWAY
Berlinale,2020,Silver Bear - Best Screenplay,BAD TALES
Berlinale,2020,Silver Bear - Outstanding Artistic Contribution,DAU. NATASHA
Berlinale,2020,Silver Bear - 70th Berlinale,DELETE HISTORY
Berlinale,2021,Golden Bear - Best Film,BAD LUCK BANGING OR LOONY PORN
Berlinale,2021,Silver Bear - Grand Jury Prize,WHEEL OF FORTUNE AND FANTASY
Berlinale,2021,Silver Bear - Jury Prize,MR. BACHMANN AND HIS CLASS
Berlinale,2021,Silver Bear - Best Director,NATURAL LIGHT
Berlinale,2021,Silver Bear - Best Leading Performance,I'M YOUR MAN
Berlinale,2021,Silver Bear - Best Supporting Performance,FOREST - I SEE YOU EVERYWHERE
Berlinale,2021,Silver Bear - Best Screenplay,INTRODUCTION
Berlinale,2021,Silver Bear - Outstanding Artistic Contribution,A COP MOVIE
Berlinale,2022,Golden Bear - Best Film,ALCARRÀS
Berlinale,2022,Silver Bear - Grand Jury Prize,THE NOVELIST'S FILM
Berlinale,2022,Silver Bear - Jury Prize,ROBE OF GEMS
Berlinale,2022,Silver Bear - Best Director,BOTH SIDES OF THE BLADE
Berlinale,2022,Silver Bear - Best Leading Performance,RABIYE KURNAZ VS. GEORGE W. BUSH
Berlinale,2022,Silver Bear - Best Supporting Performance,"BEFORE, NOW & THEN"
Berlinale,2022,Silver Bear - Best Screenplay,RABIYE KURNAZ VS. GEORGE W. BUSH
Berlinale,2022,Silver Bear - Outstanding Artistic Contribution,EVERYTHING WILL BE OK
Berlinale,2022,Special Mention,A PIECE OF SKY
Berlinale,2023,Golden Bear - Best Film,ON THE ADAMANT
Berlinale,2023,Silver Bear - Grand Jury Prize,AFIRE
Berlinale,2023,Silver Bear - Jury Prize,BAD LIVING
Berlinale,2023,Silver Bear - Best Director,THE PLOUGH
Berlinale,2023,Silver Bear - Best Leading Performance,"20,000 SPECIES OF BEES"
Berlinale,2023,Silver Bear - Best Supporting Performance,TILL THE END OF THE NIGHT
Berlinale,2023,Silver Bear - Best Screenplay,MUSIC
Berlinale,2023,Silver Bear - Outstanding Artistic Contribution,DISCO BOY
Berlinale,2024,Golden Bear - Best Film,DAHOMEY
Berlinale,2024,Silver Bear - Grand Jury Prize,A TRAVELER'S NEEDS
Berlinale,2024,Silver Bear - Jury Prize,THE EMPIRE
Berlinale,2024,Silver Bear - Best Director,PEPE
Berlinale,2024,Silver Bear - Best Leading Performance,A DIFFERENT MAN
Berlinale,2024,Silver Bear - Best Supporting Performance,SMALL THINGS LIKE THESE
Berlinale,2024,Silver Bear - Best Screenplay,DYING
Berlinale,2024,Silver Bear - Outstanding Artistic Contribution,THE DEVIL'S BATH
Berlinale,2025,Golden Bear - Best Film,DREAMS (SEX LOVE)
Berlinale,2025,Silver Bear - Grand Jury Prize,THE BLUE TRAIL
Berlinale,2025,Silver Bear - Jury Prize,THE MESSAGE
Berlinale,2025,Silver Bear - Best Director,LIVING THE LAND
Berlinale,2025,Silver Bear - Best Leading Performance,IF I HAD LEGS I'D KICK YOU
Berlinale,2025,Silver Bear - Best Supporting Performance,BLUE MOON
Berlinale,2025,Silver Bear - Best Screenplay,KONTINENTAL '25
Berlinale,2025,Silver Bear - Outstanding Artistic Contribution,THE ICE TOWER
,,,
Cannes,2021,Palme d'Or,TITANE
Cannes,2021,Grand Prix,A HERO
Cannes,2021,Grand Prix,COMPARTMENT NO. 6
Cannes,2021,Best Director,ANNETTE
Cannes,2021,Best Actress,THE WORST PERSON IN THE WORLD
Cannes,2021,Best Actor,NITRAM
Cannes,2021,Best Screenplay,DRIVE MY CAR
Cannes,2021,Jury Prize,AHED'S KNEE
Cannes,2021,Jury Prize,MEMORIA
Cannes,2022,Palme d'Or,TRIANGLE OF SADNESS
Cannes,2022,Grand Prix,CLOSE
Cannes,2022,Grand Prix,STARS AT NOON
Cannes,2022,Best Director,DECISION TO LEAVE
Cannes,2022,Best Actress,HOLY SPIDER
Cannes,2022,Best Actor,BROKER
Cannes,2022,Best Screenplay,BOY FROM HEAVEN
Cannes,2022,Jury Prize,EO
Cannes,2022,Jury Prize,THE EIGHT MOUNTAINS
Cannes,2022,75th Anniversary Prize,TORI AND LOKITA
Cannes,2023,Palme d'Or,ANATOMY OF A FALL
Cannes,2023,Grand Prix,THE ZONE OF INTEREST
